Xe_ID,Thoi_gian_chay,Do_lech,Gia_tri_ham_muc_tieu,local_time
28,140,21.5982,118.433,2025-06-06_05-46-03
40,138,34.2465,104.234,2025-06-06_05-46-03
52,152,31.2449,119.345,2025-06-06_05-46-03
58,164,36.7533,126.317,2025-06-06_05-46-03
34,182,51.0965,130.88,2025-06-06_05-46-03
22,188,63.3765,119.789,2025-06-06_05-46-03
46,204,54.3563,143.456,2025-06-06_05-46-03
16,247,103.723,140.556,2025-06-06_05-46-03
